archivoA,archivoB,similitud
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/JKK8CA6FE7A1315AF5AFEAC2961460A80569,0.8043478260869565
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/K99_C3A9A7B026BFE0E55FF219FD6AA7D94,0.055710306406685235
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/KLp90_6D5C8FC4B14559F73B6136D85B94198,0.055865921787709494
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/L11_1415EB8519D13328091CC5C76A624E3D,0.052830188679245285
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/NBV_8B75BCBFF174C25A0161F30758509A44,0.8308823529411765
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/NV99_C9C9DBF388A8D81D8CFB4D3FC05F8E4,0.055865921787709494
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/PL98_BD8B082B7711BC980252F988BB0CA936,0.034031413612565446
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/POL55_A4F1ECC4D25B33395196B5D51A06790,0.055865921787709494
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/QW2_4C6BDDCCA2695D6202DF38708E14FC7E,0.033942558746736295
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/RTC_7F85D7F628CE62D1D8F7B39D8940472,0.053231939163498096
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/SAM_B659D71AE168E774FAAF38DB30F4A84,0.055865921787709494
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/TG78Z__727A6800991EEAD454E53E8AF164A99C,0.03412073490813648
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/VBMM9_149B7BD7218AAB4E257D28469FDDB0D,0.053231939163498096
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/VC990_468FF2C12CFFC7E5B2FE0EE6BB3B239E,0.03412073490813648
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/785003A405BC7A4EBCBB21DDB757BF3F,0.7077922077922078
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/8442AE37B91F279A9F06DE4C60B286A3,0.26373626373626374
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/99A39866A657A10949FCB6D634BB30D5,0.31443298969072164
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/A316D5AECA269CA865077E7FFF356E7D,0.6923076923076923
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/AAAz2E1B6940985A23E5639450F8391820655,0.03333333333333333
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/AL65_DB05DF0498B59B42A8E493CF3C10C578,0.033419023136246784
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/B07322743778B5868475DBE66EEDAC4F,0.25806451612903225
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/B98hX8E8622C393D7E832D39E620EAD5D3B49,0.031088082901554404
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/BVJ2D9FBF759F527AF373E34673DC3ACA462,0.6540880503144654
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/DS22_A670D13D4D014169C4080328B8FEB86,0.051771117166212535
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/EEE99EC8AA67B05407C01094184C33D2B5A44,0.25136612021857924
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/F6655E39465C2FF5B016980D918EA028,0.3333333333333333
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/F8437E44748D2C3FCF84019766F4E6DC,0.6993464052287581
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/FGJKJJ1_2BA0D0083976A5C1E3315413CDCFFCD2,0.7808219178082192
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,0.03636363636363636
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/FHHH6576C196385407B0F7F4B1B537D88983,0.6558441558441559
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/FTTR9EA3C16194CE354C244C1B74C46CD92E,0.26666666666666666
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/GBV66_8F259BB36E00D124963CFA9B86F502E,0.05263157894736842
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/GFT4_7DDD3D72EAD03C7518F5D47650C8572,0.04825737265415549
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/HJGQDD892986B2249B5214639ECC8AC0223,0.6518987341772152
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/JH78C0A33A1B472A8C16123FD696A5CE5EBB,0.8794326241134752
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/JKK8CA6FE7A1315AF5AFEAC2961460A80569,0.6842105263157895
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/K99_C3A9A7B026BFE0E55FF219FD6AA7D94,0.051771117166212535
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/KLp90_6D5C8FC4B14559F73B6136D85B94198,0.05191256830601093
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/L11_1415EB8519D13328091CC5C76A624E3D,0.051470588235294115
./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,./MALWR/NBV_8B75BCBFF174C25A0161F30758509A44,0.673202614379085
